company_id,name,country,public_private_state,listing_status,category_node_id,role,why_it_matters,why_not_investable_under_project_rules,bottleneck_exposure,key_risks,confidence,source_id
NIB_OPENAI,OpenAI,US,private,private,L1_MODELS,Frontier model lab and largest AI customer of NVDA / Microsoft.,Defines the demand curve for compute.,Private; Microsoft has commercial agreement but does not represent listed exposure.,severe,Capital intensity; safety / regulatory risk.,high,SRC_FT_AI_INFRA
NIB_ANTHROPIC,Anthropic,US,private,private,L1_MODELS,Frontier model lab; Amazon and Google partners.,Major counterweight to OpenAI on capability.,Private; AMZN partnership does not constitute pure-play exposure.,severe,Capital intensity; runway.,high,SRC_FT_AI_INFRA
NIB_XAI,xAI,US,private,private,L1_MODELS,Frontier model lab.,Material new buyer of compute and power.,Private.,high,Funding; political risk.,medium,SRC_FT_AI_INFRA
NIB_DBRX,Databricks,US,private,private,L1_AI_SOFTWARE_STACK,Data lakehouse and ML platform.,Major customer of GPU cloud and platform stack.,Private.,medium,Future IPO uncertain.,medium,SRC_FT_AI_INFRA
NIB_BYTEDANCE,ByteDance / TikTok,China,private,private,L1_HYPERSCALERS,Major non-U.S. AI compute buyer; Volcengine.,Subject to U.S. export controls; ChinaCo,Private and not U.S.-listed; geopolitical / regulatory exclusion.,high,Geopolitics; export-control regimes.,medium,SRC_FT_AI_INFRA
NIB_SHIN_HYNIX,SK hynix,South Korea,public,KRX,L2_HBM,HBM share leader.,Largest HBM share among the three suppliers.,Listed only on KRX (000660.KS); no U.S. ADR at investable tier.,severe,Cyclical DRAM; Korean regulatory.,high,SRC_SK_HYNIX_PR
NIB_SAMSUNG,Samsung Electronics,South Korea,public,KRX,L1_MEMORY,DRAM / NAND / HBM and IDM foundry.,Diversified semiconductor giant.,Listed only on KRX (005930.KS); no U.S. ADR at investable tier.,severe,Diluted exposure within conglomerate.,high,SRC_SAMSUNG_PR
NIB_TEL,Tokyo Electron,Japan,public,TSE,L1_SEMI_EQUIP,Etch / clean / coater-developer / deposition.,Major front-end equipment vendor.,Listed only on TSE (8035.T); no U.S. ADR at investable tier.,severe,Cyclicality.,high,SRC_TEL_AR
NIB_DISCO,Disco Corporation,Japan,public,TSE,L2_DICING_GRINDING,Wafer dicing and grinding monopoly.,Effective monopoly on advanced wafer dicing and grinding.,Listed only on TSE (6146.T); no U.S. ADR at investable tier.,severe,Customer concentration.,high,SRC_DISCO_AR
NIB_SCREEN,SCREEN Holdings,Japan,public,TSE,L1_WAFER_CLEAN,Single-wafer wet clean equipment.,Co-leader in wafer cleaning equipment.,Listed only on TSE (7735.T); no U.S. ADR at investable tier.,high,Cyclicality.,high,SRC_TEL_AR
NIB_ADVANTEST,Advantest,Japan,public,TSE,L2_TEST_EQUIP,SoC test equipment.,Major SoC test equipment supplier.,Listed only on TSE (6857.T); no U.S. ADR at investable tier.,high,Cyclicality.,high,SRC_TER_10K
NIB_RENESAS,Renesas Electronics,Japan,public,TSE,L1_SEMI_DESIGN,Auto + general MCU; analog,Important MCU and analog supplier.,Listed only on TSE (6723.T); no U.S. ADR at investable tier.,medium,Cyclicality.,medium,SRC_TEL_AR
NIB_BESI,BE Semiconductor (Besi),Netherlands,public,Euronext,L2_HYBRID_BONDING,Hybrid bonding equipment.,Co-leader in hybrid bonding.,Listed only on Euronext Amsterdam (BESI.AS); no U.S. ADR at investable tier.,high,Capacity ramp execution.,medium,SRC_TEL_AR
NIB_ASMI,ASM International,Netherlands,public,Euronext,L1_DEPOSITION,ALD deposition equipment.,Co-leader in ALD.,Listed only on Euronext Amsterdam (ASM.AS); no U.S. ADR at investable tier.,high,Cyclicality.,high,SRC_TEL_AR
NIB_ZEISS,Carl Zeiss SMT (ZEISS Group),Germany,private,private,L4_EUV_OPTICS,Sole supplier of EUV optics to ASML.,Without ZEISS optics there is no EUV.,Private subsidiary of the broader ZEISS Group.,severe,Single-supplier risk.,high,SRC_ASML_AR
NIB_TRUMPF,TRUMPF,Germany,private,private,L3_EUV_SCANNER,Supplies CO2 lasers and other components for EUV light source.,Critical EUV light-source partner.,Private.,severe,Single-supplier risk.,medium,SRC_ASML_AR
NIB_JSR,JSR Corporation,Japan,private (JIC),delisted,L1_PHOTORESIST,EUV photoresist leader.,Top-tier EUV resist supplier.,Taken private by JIC in 2024-2025; no longer publicly listed.,severe,Concentration.,high,SRC_SEMI_INDUSTRY
NIB_TOK,Tokyo Ohka Kogyo (TOK),Japan,public,TSE,L1_PHOTORESIST,Photoresist leader,Major photoresist supplier.,Listed only on TSE (4186.T); no U.S. ADR at investable tier.,severe,Concentration.,high,SRC_SEMI_INDUSTRY
NIB_SHIN_ETSU,Shin-Etsu Chemical,Japan,public,TSE,L1_PHOTORESIST,Photoresist plus silicon wafers,Largest silicon wafer supplier and major resist player.,Listed only on TSE (4063.T); no U.S. ADR at investable tier.,severe,Concentration.,high,SRC_SEMI_INDUSTRY
NIB_SUMCO,SUMCO Corporation,Japan,public,TSE,L1_SI_POLYSI,Silicon wafers,Co-leader in 300mm silicon wafers.,Listed only on TSE (3436.T); no U.S. ADR at investable tier.,high,Cyclicality.,high,SRC_USGS_MCS_2025
NIB_SIEMENS_EDA,Siemens EDA,Germany,private (in SIE),OTC unsponsored ADR,L1_EDA,EDA tools and PCB,Third-largest EDA vendor.,Subsidiary of Siemens AG; SIE listed on Xetra; SIEGY OTC unsponsored ADR not investable.,severe,Same as SNPS / CDNS.,high,SRC_SNPS_10K
NIB_HITACHI_ENERGY,Hitachi Energy,Japan,private (in 6501),subsidiary,L1_GRID_EQUIPMENT,Large-power transformers and HVDC.,Top-tier large-power transformer supplier.,Subsidiary of Hitachi (6501.T); not directly investable.,severe,Long lead times.,high,SRC_DOE_LP_TRANSFORMER
NIB_PRYSMIAN,Prysmian Group,Italy,public,Borsa Italiana,L1_T_AND_D,HV cables.,Largest HV cable supplier globally.,Listed only on Borsa Italiana (PRY.MI); no U.S. ADR at investable tier.,severe,Project execution.,high,SRC_DOE_LP_TRANSFORMER
NIB_NEXANS,Nexans,France,public,Euronext,L1_T_AND_D,HV cables.,Major HV cable supplier.,Listed only on Euronext Paris (NEX.PA); no U.S. ADR at investable tier.,high,Same.,high,SRC_DOE_LP_TRANSFORMER
NIB_SBGSY,Schneider Electric,France,public,Euronext / OTC unsponsored,L1_DC_POWER_INTERNAL,UPS and DC power infrastructure,Top-3 DC power vendor with EcoStruxure platform.,SBGSY OTC unsponsored ADR; not at investable tier per project rules.,severe,Cyclicality.,high,SRC_VRT_10K
NIB_SIEGY,Siemens AG,Germany,public,Xetra / OTC unsponsored,L2_HV_SWITCHGEAR,Switchgear and grid,Major HV switchgear supplier.,SIEGY OTC unsponsored ADR; not at investable tier.,severe,Cyclicality.,high,SRC_DOE_LP_TRANSFORMER
NIB_ABBNY,ABB Ltd,Switzerland,public,SIX / OTC unsponsored,L1_GRID_EQUIPMENT,Grid equipment and motors,Major grid and motor supplier.,ABBNY OTC unsponsored ADR; not at investable tier.,high,Cyclicality.,high,SRC_DOE_LP_TRANSFORMER
NIB_HITACHI,Hitachi Ltd,Japan,public,TSE,L1_GRID_EQUIPMENT,Diversified industrials,Owns Hitachi Energy.,Listed only on TSE (6501.T); HTHIY OTC unsponsored ADR not investable.,high,Same.,high,SRC_DOE_LP_TRANSFORMER
NIB_MITSUBISHI_PWR,Mitsubishi Heavy Industries,Japan,public,TSE,L3_GAS_TURBINE,Gas turbines and SMR / nuclear,Top-3 gas turbine supplier globally.,Listed only on TSE (7011.T); MHVYF OTC unsponsored ADR.,severe,Long backlogs.,high,SRC_GEV_10K
NIB_FOXCONN,Hon Hai (Foxconn),Taiwan,public,TWSE,L1_SERVERS,AI server ODM,Major AI server / iPhone ODM.,Listed only on TWSE (2317.TW); no U.S. ADR at investable tier.,high,Customer concentration.,high,SRC_DELL_10K
NIB_QUANTA_TWN,Quanta Computer,Taiwan,public,TWSE,L1_SERVERS,AI server ODM,Major AI server ODM.,Listed only on TWSE (2382.TW); no U.S. ADR at investable tier.,high,Customer concentration.,high,SRC_DELL_10K
NIB_WIWYNN,Wiwynn,Taiwan,public,TWSE,L1_SERVERS,AI server ODM,AI server ODM serving Microsoft and Meta.,Listed only on TWSE (6669.TW); no U.S. ADR at investable tier.,high,Customer concentration.,high,SRC_DELL_10K
NIB_INNOLIGHT,Innolight,China,public,Shenzhen,L2_TRANSCEIVERS,Optical transceiver leader,Largest 800G transceiver supplier globally,Listed only in Shenzhen (300308.SZ); no U.S. ADR at investable tier.,high,Geopolitics.,medium,SRC_COHR_10K
NIB_SIBELCO,Sibelco,Belgium,private,private,L1_QUARTZ,High-purity quartz from Spruce Pine NC,Co-operates Spruce Pine; near-monopoly on HPQ globally.,Private; family-controlled.,severe,Single-source geography.,high,SRC_USGS_MCS_2025
NIB_QUARTZ_CORP,The Quartz Corp,Norway,private,private,L1_QUARTZ,High-purity quartz,Co-operates Spruce Pine.,Private.,severe,Single-source geography.,high,SRC_USGS_MCS_2025
NIB_HEMLOCK,Hemlock Semiconductor,US,private,private,L1_SI_POLYSI,Polysilicon for semiconductor wafers,Major U.S. polysilicon producer.,Private (joint venture).,high,Energy-cost exposure.,medium,SRC_USGS_MCS_2025
NIB_CNNC,China National Nuclear Corporation,China,state-owned,SOE,L1_NUCLEAR,State nuclear operator,Major builder of nuclear capacity.,Chinese SOE; not investable.,high,Geopolitics.,medium,SRC_CCJ_AR
NIB_CNRE,China Northern Rare Earth,China,state-owned,Shanghai,L1_RARE_EARTHS,State rare-earth refiner,Largest single rare-earth refiner globally.,Listed only in Shanghai (600111.SS); restricted exposure.,severe,Geopolitics.,high,SRC_USGS_RARE_EARTHS
NIB_GLENCORE,Glencore plc,Switzerland,public,LSE,L1_COBALT,Cobalt and copper miner / trader,Top global cobalt and trader.,Listed only on LSE (GLEN.L); GLNCY OTC unsponsored ADR not investable.,high,Commodity-cycle and trading exposure.,high,SRC_USGS_MCS_2025
NIB_NORILSK,Norilsk Nickel,Russia,public/sanctioned,MOEX,L1_NICKEL,Nickel and palladium,Top global nickel producer.,Sanctioned context; OTC pink ADR not investable.,high,Sanctions.,high,SRC_USGS_MCS_2025
NIB_GANFENG,Ganfeng Lithium,China,public,Shenzhen / HKEX,L1_LITHIUM,Major lithium chemicals firm,Major lithium producer.,Listed only on HKEX / Shenzhen (1772.HK); no U.S. ADR at investable tier.,medium,Pricing cyclicality.,high,SRC_USGS_LITHIUM
NIB_ROSATOM,Rosatom,Russia,state-owned,SOE,L4_CONVERSION_ENRICHMENT,State uranium enrichment,Largest enrichment supplier globally.,Russian SOE; not investable; sanctioned.,severe,Sanctions.,high,SRC_LEU_10K
NIB_WESTINGHOUSE,Westinghouse Electric,US,private (Brookfield/Cameco JV),private,L4_FUEL_FABRICATION,LWR fuel fabrication and reactor services,Major LWR fuel supplier; subject of Brookfield / Cameco JV ownership.,Private after CCJ / BAM acquisition; CCJ provides indirect exposure.,high,Indirect exposure via CCJ.,high,SRC_CCJ_AR
NIB_AIR_LIQUIDE,Air Liquide,France,public,Euronext,L1_INDUSTRIAL_GAS,Industrial gases,Top-3 industrial gas firm globally.,Listed only on Euronext Paris (AI.PA); AIQUY OTC unsponsored ADR not investable.,high,Cyclicality.,high,SRC_LIN_10K
NIB_LARGAN,Largan Precision,Taiwan,public,TWSE,L4_EUV_OPTICS,Precision optics for cameras and imaging,Adjacent precision-optics player.,Listed only on TWSE (3008.TW); no U.S. ADR at investable tier.,medium,Smartphone cyclicality.,medium,SRC_ASML_AR
NIB_KIOXIA,Kioxia Holdings,Japan,public,TSE,L2_NAND,NAND memory,Major NAND supplier.,IPO completed on TSE in 2024 (285A.T); no U.S. ADR at investable tier.,medium,Cyclicality.,high,SRC_MU_10K
NIB_UMC,United Microelectronics,Taiwan,public,TWSE / OTC,L2_SPECIALTY_FOUNDRY,Specialty / mature foundry,Tier-2 foundry.,UMC is U.S.-listed as ADR (UMC) — note for cross-check; investable status borderline.,medium,Mature-node ASP pressure.,high,SRC_INTC_10K
NIB_ASE_GROUP,ASE Technology Holding,Taiwan,public,TWSE / NYSE ADR,L1_PACKAGING,OSAT,Largest OSAT globally.,ASE has U.S.-listed ADR (ASX) but historically OTC; investable status borderline; check listing tier before promoting.,severe,Same as packaging.,medium,SRC_AMKR_10K
NIB_DOOSAN_ENER,Doosan Enerbility,South Korea,public,KRX,L3_GAS_TURBINE,Gas turbines and nuclear forging,Major gas-turbine and nuclear-forging supplier.,Listed only on KRX; no U.S. ADR at investable tier.,severe,Cyclicality.,medium,SRC_GEV_10K
