supplier_id,company_name,ticker_if_us_listed,exchange_if_us_listed,country,mineral_or_material,role,mining_processing_refining,investable_under_project_rules,why_relevant,key_risks,confidence,source_id
SUP_FCX_COPPER,Freeport-McMoRan,FCX,NYSE,US,Copper,Major copper miner and refiner,mining_processing,yes,Largest U.S.-listed copper miner tied to wiring; busbars; transformers; and grid buildout,Commodity-cycle risk; mine disruptions; permitting,high,SRC_FCX_10K
SUP_SCCO_COPPER,Southern Copper,SCCO,NYSE,Mexico/Peru,Copper,Large integrated copper producer,mining_processing,yes,High-purity copper exposure through a U.S.-listed company with large reserves,Country risk; labor; water; commodity pricing,high,SRC_SCCO_10K
SUP_TECK_COPPER,Teck Resources,TECK,NYSE,Canada,Copper and zinc,Base-metals miner,mining,yes,U.S.-listed copper exposure after portfolio shift toward energy-transition metals,Project execution; country exposure; metal prices,high,SRC_TECK_AR
SUP_BHP_COPPER_NICKEL,BHP Group,BHP,NYSE,Australia,Copper and nickel,Diversified miner,mining,yes,Large diversified miner with copper and nickel exposure for grid and battery inputs,Diluted exposure due to iron ore; commodity cycle,high,SRC_BHP_AR
SUP_RIO_COPPER_ALUMINUM,Rio Tinto,RIO,NYSE,UK/Australia,Copper and aluminum,Diversified miner and aluminum producer,mining_processing,yes,Major U.S.-listed ADR proxy for aluminum and copper supply,Diluted exposure; project and country risk,high,SRC_RIO_AR
SUP_AA_ALUMINUM,Alcoa,AA,NYSE,US,Aluminum,Integrated bauxite; alumina; and aluminum producer,mining_processing,yes,Closest U.S.-listed integrated aluminum supply-chain exposure,Power-cost exposure; commodity pricing,high,SRC_AA_10K
SUP_KALU_ALUMINUM,Kaiser Aluminum,KALU,NASDAQ,US,Aluminum,Specialty aluminum products,processing,yes,Specialty aluminum products used in industrial and electrical applications,Diversified end markets; cyclical demand,medium,SRC_AA_10K
SUP_CENX_ALUMINUM,Century Aluminum,CENX,NASDAQ,US,Aluminum,Primary aluminum smelter,processing,yes,U.S.-listed primary aluminum smelting exposure,Power-cost exposure; commodity cycle,medium,SRC_AA_10K
SUP_MP_RARE_EARTHS,MP Materials,MP,NYSE,US,Rare earths and NdPr,Miner; separator; magnet supply-chain builder,mining_processing,yes,Only large U.S.-listed pure-play rare-earth mining and magnet supply-chain name,China pricing pressure; processing ramp; customer concentration,high,SRC_MP_10K
SUP_USAR_RARE_EARTHS,USA Rare Earth,USAR,NASDAQ,US,Rare earths and magnets,Magnet manufacturing and Round Top project,processing,yes,Recent de-SPAC focused on U.S. rare-earth magnet supply chain,Pre-revenue execution; financing; permitting,medium,SRC_USAR_SPAC_CLOSE
SUP_UUUU_REE_URANIUM,Energy Fuels,UUUU,NYSE_AMERICAN,US,Rare earths and uranium,Monazite processing and uranium producer,processing,yes,Potential U.S.-listed rare-earth separation plus uranium fuel-chain exposure,Multi-segment execution; commodity pricing,medium,SRC_UUUU_10K
SUP_CNRE_RARE_EARTHS,China Northern Rare Earth,,,"China",Rare earths,Large rare-earth refiner and processor,processing,no,Important non-investable bottleneck because China dominates refined rare-earth oxides,Geopolitics; export controls; policy intervention,high,SRC_USGS_RARE_EARTHS
SUP_ALB_LITHIUM,Albemarle,ALB,NYSE,US,Lithium,Lithium chemicals producer,mining_processing,yes,Major U.S.-listed lithium chemicals supplier for battery and ESS chains,Lithium price cycle; project execution,high,SRC_ALB_10K
SUP_SQM_LITHIUM,SQM,SQM,NYSE,Chile,Lithium and iodine,Lithium brine and chemical producer,mining_processing,yes,U.S.-listed ADR for Chilean lithium chemicals,Country and contract risk; lithium prices,high,SRC_SQM_AR
SUP_LAC_LITHIUM,Lithium Americas,LAC,NYSE,US/Canada,Lithium,Thacker Pass developer,mining_processing,yes,U.S.-listed developer of a major U.S. lithium project,Pre-production execution; permitting; financing,medium,SRC_LAC_10K
SUP_NMG_GRAPHITE,Nouveau Monde Graphite,NMG,NYSE,Canada,Graphite,Graphite mine and anode-material developer,mining_processing,yes,U.S.-listed graphite developer relevant to battery anodes,Pre-commercial scale; financing; customer qualification,medium,SRC_USGS_GRAPHITE
SUP_CHINA_GRAPHITE_CHAIN,Chinese graphite processors,,,"China",Graphite,Graphite purification and anode processing,processing,no,China remains central to graphite processing and battery-anode supply,Export controls; geopolitical concentration,high,SRC_USGS_GRAPHITE
SUP_LIN_NOBLE_GASES,Linde,LIN,NYSE,UK,Noble gases; helium; bulk gases,Industrial and electronic gas supplier,processing,yes,Major merchant supplier of gases used in fabs including neon; krypton; xenon; argon; helium,Large-project execution; regional supply shocks,high,SRC_LIN_10K
SUP_APD_NOBLE_GASES,Air Products and Chemicals,APD,NYSE,US,Noble gases; helium; bulk gases,Industrial and electronic gas supplier,processing,yes,Major U.S.-listed industrial gas supplier for semiconductor and data-center-adjacent gases,Project execution; hydrogen capex; regional supply shocks,high,SRC_APD_10K
SUP_AIR_LIQUIDE_GASES,Air Liquide,,,"France",Industrial gases and electronic gases,Industrial gas supplier,processing,no,Top global gas supplier but not U.S.-listed under project rules,Euronext-only listing; project execution,high,SRC_LIN_10K
SUP_HELIUM_PRIVATE_E_AND_P,Private helium exploration firms,,,"US/Canada",Helium,Upstream helium exploration and production,mining,no,Important because merchant gas firms depend on limited geological helium sources,Reserve uncertainty; project financing; offtake concentration,medium,SRC_USGS_HELIUM
SUP_SIBELCO_HPQ,Sibelco,,,"Belgium",High-purity quartz,High-purity quartz supplier,mining_processing,no,Co-dominates Spruce Pine high-purity quartz supply for semiconductor crucibles,Private company; geographic single-source risk,high,SRC_USGS_MCS_2025
SUP_QUARTZ_CORP_HPQ,The Quartz Corp,,,"Norway/US",High-purity quartz,High-purity quartz supplier,mining_processing,no,Co-dominates Spruce Pine high-purity quartz supply for semiconductor crucibles,Private company; geographic single-source risk,high,SRC_USGS_MCS_2025
SUP_HEMLOCK_POLYSILICON,Hemlock Semiconductor,,,"US",Polysilicon,Electronic and solar-grade polysilicon producer,processing,no,Important private U.S. polysilicon supplier for wafer feedstock,Private ownership; energy-cost exposure; solar cycle,medium,SRC_USGS_MCS_2025
SUP_SHIN_ETSU_WAFERS,Shin-Etsu Chemical,,,"Japan",Silicon wafers and photoresists,Wafer and chemicals supplier,processing,no,Global leader in silicon wafers and key photoresists but not U.S.-listed,Japan-only listing; customer concentration; cyclicality,high,SRC_SEMI_INDUSTRY
SUP_SUMCO_WAFERS,SUMCO,,,"Japan",Silicon wafers,300mm silicon wafer supplier,processing,no,Co-leader in semiconductor-grade silicon wafers with no U.S.-listed ordinary/ADR exposure,Japan-only listing; wafer cycle,high,SRC_USGS_MCS_2025
SUP_CHINA_GALLIUM_REFINERS,Chinese gallium refiners,,,"China",Gallium,Primary gallium refiners,refining,no,China dominates gallium refining and export controls directly affect compound semiconductor inputs,Export controls; geopolitical concentration,high,SRC_USGS_GALLIUM
SUP_5NPLUS_GALLIUM_GERMANIUM,5N Plus,,,"Canada",Gallium and germanium compounds,Specialty semiconductor materials processor,processing,no,Non-U.S.-listed specialty-materials supplier relevant to compound semiconductors,TSX-only listing; small scale; customer concentration,medium,SRC_USGS_GALLIUM
SUP_CHINA_GERMANIUM_REFINERS,Chinese germanium refiners,,,"China",Germanium,Primary germanium refiners,refining,no,China dominates germanium refining and export controls affect optical and IR supply chains,Export controls; geopolitical concentration,high,SRC_USGS_GERMANIUM
SUP_TECK_GERMANIUM,Teck Resources,TECK,NYSE,Canada,Germanium byproduct,Byproduct processor at base-metals operations,processing,partial,Potential U.S.-listed ADR proxy for germanium byproduct supply but exposure is low-purity and indirect,Very low revenue purity; byproduct economics,medium,SRC_TECK_AR
SUP_CCJ_URANIUM,Cameco,CCJ,NYSE,Canada,Uranium,Uranium miner and fuel-services owner,mining_processing,yes,Major U.S.-listed ADR exposure to uranium mining and Westinghouse-related fuel services,Commodity pricing; production; geopolitics,high,SRC_CCJ_AR
SUP_UEC_URANIUM,Uranium Energy Corp,UEC,NYSE_AMERICAN,US,Uranium,U.S. ISR uranium producer,mining,yes,U.S.-listed uranium producer relevant to nuclear power and fuel security,Permitting; restart execution; uranium price,high,SRC_UEC_10K
SUP_LEU_ENRICHMENT,Centrus Energy,LEU,NYSE_AMERICAN,US,Uranium enrichment and HALEU,Enrichment technology and supply,processing,yes,Scarce U.S.-listed exposure to enrichment and HALEU bottleneck,Government contract dependence; scale-up risk,high,SRC_LEU_10K
SUP_ROSATOM_ENRICHMENT,Rosatom,,,"Russia",Uranium enrichment,State enrichment supplier,processing,no,Non-investable but globally central enrichment supplier and geopolitical bottleneck,Sanctions; export controls; state ownership,high,SRC_LEU_10K
SUP_CLF_ELECTRICAL_STEEL,Cleveland-Cliffs,CLF,NYSE,US,Electrical steel,Steelmaker with electrical-steel-adjacent exposure,processing,partial,One of few U.S.-listed steel producers with possible transformer-steel adjacency,Mostly carbon steel; limited pure-play exposure,medium,SRC_CLF_10K
SUP_NUE_STEEL,Nucor,NUE,NYSE,US,Steel,Steel producer,processing,partial,Large U.S.-listed steel supplier relevant to construction and grid equipment but weak transformer-core purity,Low pure-play exposure; steel cycle,medium,SRC_NUE_10K
SUP_POSCO_ELECTRICAL_STEEL,POSCO Holdings,,,"South Korea",Grain-oriented electrical steel,Electrical steel supplier,processing,no,Large non-U.S.-listed supplier relevant to transformer cores,Korea listing; trade policy; capacity,medium,SRC_DOE_LP_TRANSFORMER
SUP_NIPPON_STEEL_ELECTRICAL,Nippon Steel,,,"Japan",Grain-oriented electrical steel,Electrical steel supplier,processing,no,Important non-U.S.-listed transformer-steel supplier,Japan listing; trade policy; capacity,medium,SRC_DOE_LP_TRANSFORMER
SUP_CC_FLUORINE,Chemours,CC,NYSE,US,Fluorine chain,Fluorochemicals supplier,processing,yes,U.S.-listed fluorochemicals exposure relevant to HF and specialty fluorides,Legal liabilities; environmental regulation; commodity cycle,medium,SRC_ENTG_10K
SUP_ENTG_CHEMICALS,Entegris,ENTG,NASDAQ,US,High-purity chemicals and materials handling,Semiconductor materials supplier,processing,yes,Closest U.S.-listed pure-play for fab chemicals; filters; handling; and advanced materials,Customer concentration; wafer-fab capex cycle,high,SRC_ENTG_10K
SUP_DD_CMP_SLURRY,DuPont,DD,NYSE,US,CMP slurry and electronics chemicals,Specialty chemicals supplier,processing,yes,Electronics materials and CMP slurry exposure for semiconductor processing,Diversified mix; segment cyclicality,high,SRC_ENTG_10K
SUP_JSR_PHOTORESIST,JSR Corporation,,,"Japan",Photoresists,EUV and DUV photoresist supplier,processing,no,Key photoresist bottleneck; taken private by JIC and excluded from public-company rankings,Private/delisted; Japan concentration,high,SRC_SEMI_INDUSTRY
SUP_TOK_PHOTORESIST,Tokyo Ohka Kogyo,,,"Japan",Photoresists,EUV and DUV photoresist supplier,processing,no,Major photoresist supplier with no U.S.-listed ADR at project standard,Japan-only listing; concentration,high,SRC_SEMI_INDUSTRY
SUP_TUNGSTEN_CHINA_CHAIN,Chinese tungsten miners and refiners,,,"China",Tungsten,Tungsten mining and refining,mining_processing,no,China dominates tungsten supply used in contacts; interconnects; and hard tooling,Export controls; geopolitical concentration,high,SRC_USGS_TUNGSTEN
SUP_TANTALUM_GLOBAL_CHAIN,Global tantalum miners and refiners,,,"DRC/Rwanda/Brazil",Tantalum,Tantalum ore and capacitor materials,mining_processing,no,Tantalum capacitors remain relevant to power-delivery electronics and conflict-mineral controls,Conflict minerals; traceability; country risk,medium,SRC_USGS_MCS_2025
SUP_HAFNIUM_ZIRCON_CHAIN,Zirconium and hafnium refiners,,,"Global",Hafnium and zirconium,Byproduct refining and specialty metals,refining,no,Hafnium supports high-k dielectrics while zirconium is relevant to nuclear fuel cladding,Small market; byproduct dependency; import reliance,medium,SRC_USGS_MCS_2025
